Name,City,region,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
فندق حياة ريفان جدة,Jeddah,Makkah,SAR 80,2,Only 4 like this left on our site,5710720,7.9, 152 reviews ,Double Studio,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Requierd,null,39.13878189,21.61840242,https://www.booking.com/hotel/sa/fndq-hy-ryfn-jd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=571072002_239861661_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=497&highlighted_blocks=571072002_239861661_2_0_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=571072002_239861661_2_0_0__8000&srepoch=1587183019&srpvid=b42f1d55ae5900c3&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Golden Prince Hotel Al Rabwah,Buraidah,Al-Qaseem,SAR 89,2,Only 3 like this left on our site,353094,6.3, 118 reviews ,Studio,prepayment Needed,null,Max persons: 2,"1 bed
(1 large double)",No, Review score ,Requierd,null,43.97269785,26.35223828,https://www.booking.com/hotel/sa/golden-prince-1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=35309401_190255459_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=498&highlighted_blocks=35309401_190255459_0_42_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=35309401_190255459_0_42_0__8900&srepoch=1587183019&srpvid=b42f1d55ae5900c3&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
OYO 285 Masharef Furnished Units In,Al-Tayef,Makkah,SAR 95,2,null,5424023,7.8, 134 reviews ,One-Bedroom Apartment,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(1 double, 1 sofa bed)",Yes, Good ,Requierd,null,40.41412996,21.27734825,https://www.booking.com/hotel/sa/oyo-285-masharef-furnished-units-in.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=542402301_194464877_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=499&highlighted_blocks=542402301_194464877_2_0_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=542402301_194464877_2_0_0__9488&srepoch=1587183019&srpvid=b42f1d55ae5900c3&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
OYO 302 Maamoura,Riyadh,Riyadh,SAR 97,2,Only 2 like this left on our site,5657184,6.3, 189 reviews ,Twin Studio,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Review score ,Requierd,null,46.78688066,24.81354786,https://www.booking.com/hotel/sa/oyo-302-maamoura.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=565718407_234215365_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=500&highlighted_blocks=565718407_234215365_2_0_0&hpos=25&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=565718407_234215365_2_0_0__9725&srepoch=1587183019&srpvid=b42f1d55ae5900c3&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Genac Hotel Yanbu,Yanbu,Al-Madinah,SAR 100,2,Only 7 rooms like this left on our site,4657817,7.6, 214 reviews ,Deluxe Double Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Requierd,null,38.05453843,24.0804432,https://www.booking.com/hotel/sa/genac.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=465781702_207145082_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=501&highlighted_blocks=465781702_207145082_2_0_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=465781702_207145082_2_0_0__10000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
OYO 273 Star Yanbu Hotel Suites,Yanbu,Al-Madinah,SAR 102,2,Only 2 like this left on our site,5404457,6.9, 72 reviews ,Standard Studio,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Review score ,Requierd,null,38.05236462,24.1017166,https://www.booking.com/hotel/sa/oyo-273-star-yanbu-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=540445703_193640240_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=502&highlighted_blocks=540445703_193640240_2_0_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=540445703_193640240_2_0_0__10199&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
تبوك ستار1,Tabouk,Tabouk,SAR 103,2,null,2247819,5.3, 106 reviews ,Two-Bedroom Apartment,prepayment Needed,FREE cancellation,Max persons: 4,"3 beds
(2 singles, 1 large double)",Yes, Review score ,Requierd,null,36.57881051,28.40739042,https://www.booking.com/hotel/sa/tabuk-star-for-suites-and-furnished-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=224781902_98893564_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=503&highlighted_blocks=224781902_98893564_0_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=224781902_98893564_0_0_0__10300&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
OYO 288 Diafati Residential Units,Al- Khubar,Eastern Region,SAR 103,2,Only 4 like this left on our site,5554058,7.4, 123 reviews ,Standard Studio,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Good ,Requierd,null,50.17904171,26.29327797,https://www.booking.com/hotel/sa/oyo-288-diafati-residential-units.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=555405801_206392156_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=504&highlighted_blocks=555405801_206392156_2_2_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=555405801_206392156_2_2_0__10339&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
tuline blue,Al-Jubail,Eastern Region,SAR 109,2,Only 1 room left like this on our site,6157635,7.3, 11 reviews ,Standard King Room,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",No, Good ,Requierd,null,49.65512401,26.98006565,https://www.booking.com/hotel/sa/tuline-blue-al-jubail1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=615763501_240639940_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=505&highlighted_blocks=615763501_240639940_2_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=615763501_240639940_2_0_0__10900&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
OYO 165 Orchida Al Hamra,Riyadh,Riyadh,SAR 111,2,null,4832354,7.2, 467 reviews ,Standard Studio Twin,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Good ,Requierd,null,46.71860143,24.64171126,https://www.booking.com/hotel/sa/oyo-165-orchida-al-hamra.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=483235405_157598191_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=506&highlighted_blocks=483235405_157598191_2_0_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=483235405_157598191_2_0_0__11149&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
OYO 279 Joahrat Al Taif,Al-Tayef,Makkah,SAR 113,2,Only 4 like this left on our site,5404900,8.3, 262 reviews ,One-Bedroom Apartment,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(1 double, 1 sofa bed)",No, Very good ,Requierd,null,40.41048219,21.22912471,https://www.booking.com/hotel/sa/oyo-279-joahrat-al-taif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=540490001_193653696_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=507&highlighted_blocks=540490001_193653696_2_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=540490001_193653696_2_0_0__11331&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Odst Jeddah Hotel,Jeddah,Makkah,SAR 128,2,Only 1 room left like this on our site,369200,7.4, 507 reviews ,Double Room,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Requierd,null,39.19359684,21.49764714,https://www.booking.com/hotel/sa/mokhtara-al-attas.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=36920002_256275368_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=508&highlighted_blocks=36920002_256275368_0_2_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=36920002_256275368_0_2_0__12750&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
جازان روز- Jazan Rose,Jazan,Jazan,SAR 129,2,Only 3 rooms like this left on our site,5975484,7.1, 10 reviews ,Economy Twin Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Requierd,null,42.566022,16.941664,https://www.booking.com/hotel/sa/jzn-rwz.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=597548407_239276413_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=509&highlighted_blocks=597548407_239276413_2_0_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=597548407_239276413_2_0_0__12900&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
الفهد الذهبى للوحدات الفندقيه,Yanbu,Al-Madinah,SAR 130,2,Only 3 like this left on our site,4964863,8.4, 24 reviews ,Studio Apartment,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",No, Very good ,Requierd,null,38.05767276,24.12086206,https://www.booking.com/hotel/sa/lfhd-ldhhby-llwhdt-lfndqyh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=496486301_169668389_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=510&highlighted_blocks=496486301_169668389_2_0_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=496486301_169668389_2_0_0__13000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
كما للوحدات السكنيه,"Al Awali
AlAwali",Makkah,SAR 130,2,Only 1 left like this on our site,6208867,,null,Studio - Split Level,prepayment Needed,FREE cancellation,Max persons: 6,"3 beds
(3 doubles)",Yes,null,Requierd,null,39.638042,24.463916,https://www.booking.com/hotel/sa/km-llwhdt-lsknyh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=620886702_242170942_6_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=511&highlighted_blocks=620886702_242170942_6_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=620886702_242170942_6_0_0__13000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Tathleeth Palace,Tathleeth,Aseer,SAR 130,2,Only 2 rooms like this left on our site,402430,4.8, 8 reviews ,Standard Twin Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Review score ,Requierd,null,43.52193385,19.5418065,https://www.booking.com/hotel/sa/tathleeth-palace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=40243002_226099812_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=512&highlighted_blocks=40243002_226099812_0_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=40243002_226099812_0_0_0__13000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Jazan Heart Hotel,Jazan,Jazan,SAR 135,2,Only 4 rooms like this left on our site,3601007,7.8, 198 reviews ,Deluxe Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",No, Good ,Requierd,null,42.55828248,16.89176381,https://www.booking.com/hotel/sa/fndq-qlb-jzn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=360100701_118609787_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=513&highlighted_blocks=360100701_118609787_2_0_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=360100701_118609787_2_0_0__13500&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Aliqbal Hotel,Al- Khubar,Eastern Region,SAR 140,2,Only 2 rooms like this left on our site,2049166,6.7, 83 reviews ,Standard Double Room,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Review score ,Requierd,null,50.2109018,26.28306038,https://www.booking.com/hotel/sa/aliqbal.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=204916605_95676422_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=514&highlighted_blocks=204916605_95676422_0_2_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=204916605_95676422_0_2_0__14000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Kayan Al Taif Hotel,Al-Tayef,Makkah,SAR 144,2,Only 1 room left like this on our site,5560850,8.7, 513 reviews ,Superior King Room,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Fabulous ,Requierd,null,40.43508205,21.29453298,https://www.booking.com/hotel/sa/kyn-lty-f-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=556085001_232025449_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=515&highlighted_blocks=556085001_232025449_2_0_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=556085001_232025449_2_0_0__14418&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
ROSHAN ALdar Faqeeh Inn,Makkah,Makkah,SAR 150,2,null,2798404,7.7, 385 reviews ,Quadruple Room with Private Bathroom,prepayment Needed,null,Max persons: 4,"4 beds
(4 singles)",Yes, Good ,Requierd,null,39.83202567,21.38517341,https://www.booking.com/hotel/sa/rwshn-ldr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=279840402_107098548_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=516&highlighted_blocks=279840402_107098548_0_0_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=279840402_107098548_0_0_0__15000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Durrat Manzli ApartHotel,Al- Khubar,Eastern Region,SAR 160,2,Only 2 rooms like this left on our site,5276179,8.2, 82 reviews ,Deluxe Double Room,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Very good ,Requierd,null,50.18511097,26.17973365,https://www.booking.com/hotel/sa/dr-mnzly-llshqq-lfndqy-lkhbr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=527617901_190530931_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=517&highlighted_blocks=527617901_190530931_2_0_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=527617901_190530931_2_0_0__16000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Hayat Alasayal Hotel,Jeddah,Makkah,SAR 160,2,Only 3 rooms like this left on our site,3637210,7.9, 74 reviews ,Deluxe Double Room,prepayment Needed,null,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Requierd,null,39.158212,21.573095,https://www.booking.com/hotel/sa/hayat-al-aseel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=363721007_127559200_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=518&highlighted_blocks=363721007_127559200_0_2_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=363721007_127559200_0_2_0__16000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Almudawah Hotel,Al-Tayef,Makkah,SAR 160,2,Only 3 rooms like this left on our site,1808064,8.5, 66 reviews ,Budget Double Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 large doubles)",Yes, Very good ,Requierd,Breakfast included,38.66435409,31.67685657,https://www.booking.com/hotel/sa/almudawah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=180806415_200635039_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=519&highlighted_blocks=180806415_200635039_0_1_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=180806415_200635039_0_1_0__16000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
فندق الشرق,Al-Jubail,Eastern Region,SAR 160,2,Only 5 rooms like this left on our site,4979502,7, 8 reviews ,Double Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Requierd,null,49.65901758,27.01324292,https://www.booking.com/hotel/sa/fndq-lshrq.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=497950202_231372327_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=520&highlighted_blocks=497950202_231372327_2_2_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=497950202_231372327_2_2_0__16000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Royal El Naser Hotel,Al- Khubar,Eastern Region,SAR 160,2,null,2185121,6.5, 104 reviews ,Budget Double Room,prepayment Needed,null,Max persons: 2,"2 beds
(2 singles)",Yes, Review score ,Requierd,null,50.20042777,26.29672503,https://www.booking.com/hotel/sa/royal-el-naser.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=218512112_174414597_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=521&highlighted_blocks=218512112_174414597_0_42_0&hpos=21&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=218512112_174414597_0_42_0__16000&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Swiss Blue 2,Jeddah,Makkah,SAR 168,2,null,5017432,8.3, 214 reviews ,Studio,prepayment Needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Requierd,null,39.242883,21.565599,https://www.booking.com/hotel/sa/swiss-blue-2-swys-blw.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=501743203_236267766_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=522&highlighted_blocks=501743203_236267766_0_0_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=501743203_236267766_0_0_0__16800&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Safwat Al Amal Hotel,Al-Tayef,Makkah,SAR 171,2,Only 1 left like this on our site,1686481,7.9, 363 reviews ,Studio with City View,prepayment Needed,null,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Requierd,null,40.2977888,21.35063666,https://www.booking.com/hotel/sa/safwat-al-amal.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=168648107_89776537_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=523&highlighted_blocks=168648107_89776537_0_0_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=168648107_89776537_0_0_0__17100&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Mirage Hotel,Jazan,Jazan,SAR 176,2,Only 4 rooms like this left on our site,5439685,7.8, 83 reviews ,Deluxe Twin Room,prepayment Needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",No, Good ,Requierd,null,42.57968361,16.88704496,https://www.booking.com/hotel/sa/fndq-myrj.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=543968502_220758091_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=524&highlighted_blocks=543968502_220758091_2_0_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=543968502_220758091_2_0_0__17600&srepoch=1587183028&srpvid=b42f1d5ac6780058&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
